201118|Edgewater at South Hill|Polygon Bellevue|Pierce County, WA|Unit J|23'-0"|40'-0"|3+Bonus|2.5|1,714|08/10/2011|G:/Database/Plans/Townhomes/1118/Unit_J.pdf
201118|Edgewater at South Hill|Polygon Bellevue|Pierce County, WA|Unit K|15'-8"|35'-0"|2|2.5|1,234|08/10/2011|G:/Database/Plans/Townhomes/1118/Unit_K.pdf
201118|Edgewater at South Hill|Polygon Bellevue|Pierce County, WA|Unit L1|29'-4"|40'-0"|3+Den|3|2,156|08/10/2011|G:/Database/Plans/Townhomes/1118/Units_L1_L2.pdf
201118|Edgewater at South Hill|Polygon Bellevue|Pierce County, WA|Unit L2|23'-0"|24'-3"|2|2.5|1,194|08/10/2011|G:/Database/Plans/Townhomes/1118/Units_L1_L2.pdf
201118|Edgewater at South Hill|Polygon Bellevue|Pierce County, WA|Unit K3|18'-1.5"|35'-0"|2|2.5|1,238|08/10/2011|G:/Database/Plans/Townhomes/1118/Unit_K3.pdf
200929|High Point|Polygon Bellevue|Seattle, WA|Unit E1|15'-4"|41'-0"|2+Den|2.5|1,330|02/01/2011|G:\Database\Plans\Townhomes\0929\E1.pdf
200929|High Point|Polygon Bellevue|Seattle, WA|Unit E3|19'-1"|42'-0"|3+Tech|3.5|1,554|02/01/2011|G:\Database\Plans\Townhomes\0929\E3.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit A|16'-0"|54'-0"|2|2.5|1,000|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_A.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit B|23'-0"|51'-0|3|2.5|1,362|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_B.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit B2|21'-6"|54'-0"|3+Den|2.5|1,361|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_B2.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit C|16'-0"|37'-8.5"|2|2.5|1,194|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_C.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit D|24'-0"|33'-7"|3|2.5|1,283|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_D.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit F|27'-2"|49'-0"|3|2|1,110|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_F.pdf
199008|Campus Highland Townhomes|Polygon Bellevue|King County, WA|Unit G|24'-0"|51'-0"|3|2.5|1,365|12/01/1989|G:/Database/Plans/Townhomes/9008/Unit_G.pdf
199011|Hill Climb Townhomes|Gimak Partnership|Kirkland, WA|Unit A|28'-10"|45'-0"|3+Den|2.5|2,782|06/01/1990|G:/Database/Plans/Townhomes/9011/Unit_A.pdf
199011|Hill Climb Townhomes|Gimak Partnership|Kirkland, WA|Unit B|28'-9"|48'-0"|3|2.5|2,516|06/01/1990|G:/Database/Plans/Townhomes/9011/Unit_B.pdf
199011|Hill Climb Townhomes|Gimak Partnership|Kirkland, WA|Unit C|28'-9"|40'-0"|2+Den|2.5|2,607|06/01/1990|G:/Database/Plans/Townhomes/9011/Unit_C.pdf
199011|Hill Climb Townhomes|Gimak Partnership|Kirkland, WA|Unit D|28'-9"|49'-0"                                        |3+Den|2.5|3,227|06/01/1990|G:/Database/Plans/Townhomes/9011/Unit_D.pdf
198802|Shadow Wood Apartments|Polygon Bellevue|Kirkland, WA|Unit A|16'-0"|37'-0"|2|2.5|1,049|08/01/1988|G:/Database/Plans/Townhomes/8802/Unit_A.pdf
