201103|Sunrise Apartments|Polygon Vancouver|Happy Valley, OR|Unit A|28'-4"|31'-0"|1|1|657|08/10/2011|G:\Database\Plans\Flats\1103\Unit_A.pdf
201103|Sunrise Apartments|Polygon Vancouver|Happy Valley, OR|Unit B|37'-8"|31'-0"|2|1|849|08/10/2011|G:\Database\Plans\Flats\1103\Unit_B.pdf
201103|Sunrise Apartments|Polygon Vancouver|Happy Valley, OR|Unit C|38'-8"|31'-0"|2|2|881|08/10/2011|G:\Database\Plans\Flats\1103\Unit_C.pdf
201103|Sunrise Apartments|Polygon Vancouver|Happy Valley, OR|Unit D|46'-0"|31'-0"|2|2|1,029|08/10/2011|G:\Database\Plans\Flats\1103\Unit_D.pdf
201103|Sunrise Apartments|Polygon Vancouver|Happy Valley, OR|Unit E|48'-0"|31'-0"|3|2|1,140|08/10/2011|G:\Database\Plans\Flats\1103\Unit_E.pdf
201109|Heron Creek Apartments|Polygon Vancouver|Hillsboro, OR|Unit A|28'-4"|31'-0"|1|1|604|06/28/2011|G:\Database\Plans\Flats\1109\Unit_A.pdf
201109|Heron Creek Apartments|Polygon Vancouver|Hillsboro, OR|Unit B|37'-8"|31'-0"|2|1|849|06/28/2011|G:\Database\Plans\Flats\1109\Unit_B.pdf
201109|Heron Creek Apartments|Polygon Vancouver|Hillsboro, OR|Unit C|38'-8"|31'-0"|2|2|881|06/28/2011|G:\Database\Plans\Flats\1109\Unit_C.pdf
201109|Heron Creek Apartments|Polygon Vancouver|Hillsboro, OR|Unit D|46'-0"|31'-0"|2|2|1,029|06/28/2011|G:\Database\Plans\Flats\1109\Unit_D.pdf
201109|Heron Creek Apartments|Polygon Vancouver|Hillsboro, OR|Unit E|48'-0"|31'-0"|3|2|1,140|06/28/2011|G:\Database\Plans\Flats\1109\Unit_E.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit A|21'-6"|43'-0"|1|1|698|05/20/1994|G:\Database\Plans\Flats\9002\Unit_A.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit B|28'-4"|45'-0"|2|1|917|05/20/1994|G:\Database\Plans\Flats\9002\Unit_B.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit B1|25'-7.5"|45'-0"|2|1|928|07/27/1994|G:\Database\Plans\Flats\9002\Unit_B1.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit C|27'-0"|45'-11"|2|2|981|07/27/1994|G:\Database\Plans\Flats\9002\Unit_C.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit D|33'-0"|46'-0"|2+Den|2|1,238|05/20/1994|G:\Database\Plans\Flats\9002\Unit_D.pdf
199002|Lake Meridian Ridge Apartments|Invest West Corp|King County, WA|Unit E|16'-0"|41'-0"|2|2.5|1,107|07/27/1994|G:\Database\Plans\Flats\9002\Unit_E.pdf
